id,date,time,teensytime,record_sn,voltage,current,teensytemp,nano_value1,nano_value2,nano_value3,nano_value4,valve_state,x_pos,y_pos,alt,eu_x,eu_y,eu_z,acc_x,acc_y,acc_z,lat,lon,gps_alt
1,2025-05-13,14:00:00.000,100000,00001,12.0,0.5,36.5,550,653,450,602,CLOSED,10.0,20.0,10.0,0.0,-0.0,0.5,0.0,0.01,3.0,27.705,85.329,10.0
2,2025-05-13,14:00:00.050,600000,00002,12.0,0.5,36.5,550,652,450,601,CLOSED,10.0,20.0,10.01,0.0,-0.0,0.5,0.0,0.01,3.0,27.705,85.329,10.01
3,2025-05-13,14:00:00.100,1100000,00003,12.0,0.5,36.5,550,652,450,601,CLOSED,10.01,20.0,10.04,0.0,-0.01,0.5,0.0,0.01,2.99,27.705001,85.329001,10.04
4,2025-05-13,14:00:00.150,1600000,00004,12.0,0.5,36.5,550,652,450,601,CLOSED,10.01,20.0,10.09,0.01,-0.01,0.5,0.0,0.01,2.99,27.705001,85.329001,10.09
5,2025-05-13,14:00:00.200,2100000,00005,12.0,0.5,36.5,550,652,450,601,CLOSED,10.01,20.01,10.17,0.01,-0.02,0.5,0.0,0.01,2.99,27.705002,85.329002,10.17
6,2025-05-13,14:00:00.250,2600000,00006,12.0,0.5,36.5,550,652,450,601,CLOSED,10.01,20.01,10.28,0.01,-0.02,0.5,0.0,0.01,2.99,27.705002,85.329002,10.28
7,2025-05-13,14:00:00.300,3100000,00007,12.0,0.5,36.5,550,652,450,601,CLOSED,10.02,20.01,10.42,0.01,-0.03,0.5,0.001,0.01,2.98,27.705003,85.329003,10.42
8,2025-05-13,14:00:00.350,3600000,00008,12.0,0.5,36.5,550,652,450,601,CLOSED,10.02,20.01,10.6,0.02,-0.03,0.5,0.001,0.01,2.98,27.705003,85.329003,10.6
9,2025-05-13,14:00:00.400,4100000,00009,12.0,0.5,36.5,550,652,450,601,CLOSED,10.02,20.01,10.8,0.02,-0.04,0.5,0.001,0.01,2.98,27.705004,85.329004,10.8
10,2025-05-13,14:00:00.450,4600000,00010,12.0,0.5,36.5,550,652,450,601,CLOSED,10.02,20.01,11.04,0.02,-0.04,0.5,0.001,0.01,2.97,27.705004,85.329004,11.04
11,2025-05-13,14:00:00.500,5100000,00011,11.999,0.5,36.5,550,652,450,601,CLOSED,10.03,20.02,11.31,0.02,-0.05,0.5,0.001,0.01,2.97,27.705005,85.329005,11.31
12,2025-05-13,14:00:00.550,5600000,00012,11.999,0.501,36.5,550,652,450,601,CLOSED,10.03,20.02,11.61,0.03,-0.05,0.5,0.001,0.01,2.97,27.705005,85.329005,11.61
13,2025-05-13,14:00:00.600,6100000,00013,11.999,0.501,36.5,550,652,450,601,CLOSED,10.03,20.02,11.95,0.03,-0.06,0.5,0.001,0.01,2.96,27.705006,85.329006,11.95
14,2025-05-13,14:00:00.650,6600000,00014,11.999,0.501,36.5,550,652,450,601,CLOSED,10.03,20.02,12.33,0.03,-0.06,0.5,0.001,0.01,2.96,27.705006,85.329006,12.33
15,2025-05-13,14:00:00.700,7100000,00015,11.999,0.501,36.5,550,652,450,601,CLOSED,10.04,20.02,12.74,0.03,-0.07,0.5,0.001,0.01,2.96,27.705007,85.329007,12.74
16,2025-05-13,14:00:00.750,7600000,00016,11.999,0.501,36.5,550,652,450,601,CLOSED,10.04,20.02,13.19,0.04,-0.07,0.5,0.001,0.01,2.96,27.705007,85.329007,13.19
17,2025-05-13,14:00:00.800,8100000,00017,11.999,0.501,36.5,550,652,450,601,CLOSED,10.04,20.02,13.67,0.04,-0.08,0.5,0.002,0.01,2.95,27.705008,85.329008,13.67
18,2025-05-13,14:00:00.850,8600000,00018,11.999,0.501,36.5,550,652,450,601,CLOSED,10.04,20.03,14.2,0.04,-0.08,0.5,0.002,0.01,2.95,27.705008,85.329009,14.2
19,2025-05-13,14:00:00.900,9100000,00019,11.999,0.501,36.5,550,652,450,601,CLOSED,10.04,20.03,14.76,0.04,-0.09,0.5,0.002,0.01,2.95,27.705009,85.329009,14.76
20,2025-05-13,14:00:00.950,9600000,00020,11.999,0.501,36.5,550,652,450,601,CLOSED,10.05,20.03,15.36,0.05,-0.09,0.5,0.002,0.01,2.94,27.705009,85.329009,15.36
21,2025-05-13,14:00:01.000,10100000,00021,11.999,0.501,36.5,550,652,450,601,OPEN,10.05,20.03,16.0,0.05,-0.1,0.5,0.002,0.01,2.94,27.70501,85.32901,16.0
22,2025-05-13,14:00:01.050,10600000,00022,11.999,0.501,36.51,550,652,450,601,OPEN,10.05,20.03,16.68,0.05,-0.1,0.5,0.002,0.01,2.94,27.70501,85.32901,16.68
23,2025-05-13,14:00:01.100,11100000,00023,11.999,0.501,36.51,550,652,450,601,OPEN,10.05,20.03,17.4,0.05,-0.11,0.5,0.002,0.01,2.93,27.705011,85.329011,17.4
24,2025-05-13,14:00:01.150,11600000,00024,11.999,0.501,36.51,550,652,450,601,OPEN,10.06,20.03,18.16,0.06,-0.11,0.5,0.002,0.01,2.93,27.705011,85.329011,18.16
25,2025-05-13,14:00:01.200,12100000,00025,11.999,0.501,36.51,550,652,450,601,OPEN,10.06,20.04,18.96,0.06,-0.12,0.5,0.002,0.01,2.93,27.705012,85.329012,18.96
26,2025-05-13,14:00:01.250,12600000,00026,11.999,0.501,36.51,550,652,450,601,OPEN,10.06,20.04,19.8,0.06,-0.12,0.5,0.002,0.01,2.93,27.705012,85.329012,19.8
27,2025-05-13,14:00:01.300,13100000,00027,11.999,0.501,36.51,550,652,451,601,OPEN,10.06,20.04,20.69,0.06,-0.13,0.5,0.003,0.01,2.92,27.705013,85.329013,20.69
